"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2023","1,730.00","1,730.00","1,730.00","1,730.00","","0.00%"
"07/18/2023","1,730.00","1,715.00","1,730.00","1,710.00","0.16K","-0.40%"
"07/17/2023","1,737.00","1,750.00","1,750.00","1,730.00","2.70K","-0.74%"
"07/14/2023","1,750.00","1,750.00","1,750.00","1,740.00","0.02K","1.38%"
"07/13/2023","1,726.20","1,750.00","1,769.00","1,726.01","0.16K","-1.36%"
"07/12/2023","1,749.99","1,769.00","1,769.00","1,749.99","0.16K","2.94%"
"07/11/2023","1,700.00","1,780.00","1,780.00","1,700.00","3.28K","-3.02%"
"07/10/2023","1,753.00","1,701.00","1,753.00","1,701.00","0.10K","-0.40%"
"07/07/2023","1,760.00","1,745.01","1,774.99","1,745.01","0.12K","0.00%"
"07/06/2023","1,760.00","1,754.01","1,798.40","1,754.01","0.08K","-1.90%"
"07/05/2023","1,794.00","1,794.00","1,794.00","1,794.00","0.02K","2.51%"
"07/04/2023","1,750.00","1,750.00","1,750.00","1,750.00","0.01K","-2.78%"
"07/03/2023","1,800.00","1,790.00","1,800.00","1,790.00","0.44K","0.00%"
"06/27/2023","1,800.00","1,810.00","1,810.00","1,725.00","0.34K","-1.37%"
"06/26/2023","1,825.00","1,651.00","1,825.00","1,650.00","0.80K","1.67%"
"06/23/2023","1,795.00","1,700.00","1,795.00","1,700.00","0.18K","6.02%"
"06/22/2023","1,693.00","1,725.10","1,725.10","1,693.00","0.20K","-3.26%"
"06/21/2023","1,750.00","1,774.90","1,774.90","1,750.00","0.22K","-5.41%"
"06/20/2023","1,850.00","1,790.00","1,850.00","1,770.00","1.54K","6.57%"
"06/19/2023","1,736.00","1,711.11","1,738.00","1,711.11","0.06K","-3.56%"
"06/16/2023","1,800.00","1,800.00","1,800.00","1,800.00","0.04K","0.00%"
"06/15/2023","1,800.00","1,800.00","1,920.00","1,755.00","3.20K","-2.44%"
"06/14/2023","1,845.00","1,740.00","1,845.00","1,729.90","1.02K","6.04%"
"06/13/2023","1,739.99","1,740.00","1,740.00","1,704.00","0.46K","-0.57%"
"06/12/2023","1,750.00","1,660.06","1,755.00","1,660.06","0.42K","2.94%"
"06/09/2023","1,700.00","1,660.00","1,700.00","1,660.00","0.16K","-1.48%"
"06/08/2023","1,725.50","1,730.00","1,741.10","1,725.50","0.28K","0.03%"
"06/07/2023","1,725.00","1,680.00","1,780.00","1,640.00","0.94K","3.67%"
"06/06/2023","1,664.00","1,689.00","1,689.00","1,664.00","0.08K","2.09%"
"06/05/2023","1,630.00","1,620.00","1,690.00","1,620.00","0.34K","-3.78%"
"06/02/2023","1,694.00","1,694.00","1,694.00","1,694.00","0.02K","2.98%"
"05/31/2023","1,645.00","1,640.00","1,646.00","1,640.00","0.06K","-2.81%"
"05/30/2023","1,692.50","1,635.00","1,692.50","1,635.00","0.24K","3.52%"
"05/29/2023","1,635.00","1,694.75","1,697.80","1,620.01","0.58K","-2.39%"
"05/26/2023","1,675.00","1,695.00","1,695.00","1,675.00","0.20K","4.29%"
"05/25/2023","1,606.06","1,650.00","1,650.00","1,606.06","0.06K","-4.40%"
"05/24/2023","1,680.00","1,680.00","1,680.00","1,680.00","0.04K","0.00%"
"05/23/2023","1,680.00","1,650.00","1,680.00","1,650.00","0.10K","2.13%"
"05/22/2023","1,645.00","1,650.00","1,650.00","1,645.00","0.12K","-0.30%"
"05/19/2023","1,650.00","1,648.95","1,650.00","1,648.95","0.08K","1.54%"
"05/18/2023","1,625.00","1,594.11","1,625.00","1,594.11","0.24K","-2.99%"
"05/17/2023","1,675.00","1,670.00","1,675.00","1,670.00","0.04K","-1.47%"
"05/16/2023","1,699.99","1,700.00","1,700.00","1,572.50","0.72K","0.00%"
"05/15/2023","1,700.00","1,700.00","1,700.00","1,700.00","0.08K","0.00%"
"05/11/2023","1,700.00","1,641.51","1,700.00","1,641.51","0.04K","-2.30%"
"05/09/2023","1,740.00","1,740.00","1,740.35","1,740.00","0.12K","0.00%"
"05/03/2023","1,740.00","1,769.00","1,769.00","1,740.00","0.08K","2.35%"
"05/02/2023","1,700.00","1,701.20","1,710.11","1,700.00","0.24K","-4.49%"
"04/20/2023","1,780.00","1,780.00","1,780.00","1,780.00","0.08K","0.00%"
"04/18/2023","1,780.00","1,780.00","1,780.00","1,780.00","0.02K","1.14%"
"04/17/2023","1,760.00","1,760.00","1,760.00","1,760.00","0.04K","0.00%"
"04/13/2023","1,760.00","1,760.00","1,760.00","1,760.00","0.02K","1.73%"
"04/12/2023","1,730.01","1,730.01","1,730.01","1,730.01","0.04K","0.00%"
"04/11/2023","1,730.01","1,730.01","1,730.01","1,730.01","0.04K","-5.72%"
