Date,Open,High,Low,Close,Adj Close,Volume
2022-07-14,180.500000,181.050003,177.500000,178.020004,167.436172,1196142
2022-07-15,178.000000,184.490005,176.639999,182.270004,171.433502,3326247
2022-07-18,179.000000,181.500000,177.100006,177.830002,167.257477,1054604
2022-07-19,178.000000,179.270004,168.000000,171.789993,161.576569,1812713
2022-07-20,172.000000,175.000000,171.789993,173.919998,163.579926,1457919
2022-07-21,174.500000,174.500000,169.250000,169.789993,159.695465,534006
2022-07-22,171.949997,171.990005,167.100006,169.929993,159.827148,965805
2022-07-25,167.949997,169.199997,166.699997,168.990005,158.943039,228660
2022-07-26,168.889999,173.500000,167.550003,172.089996,161.858734,635020
2022-07-27,171.839996,173.449997,169.000000,171.179993,161.002823,818203
2022-07-28,172.250000,175.000000,171.000000,173.630005,163.307175,567550
2022-07-29,173.500000,175.750000,171.800003,172.440002,162.187927,946509
2022-08-01,174.000000,175.490005,172.110001,172.800003,162.526520,1003401
2022-08-02,171.250000,173.399994,169.199997,172.039993,161.811691,593796
2022-08-03,172.750000,178.000000,172.750000,176.630005,166.128815,1614294
2022-08-04,178.990005,183.250000,178.399994,180.729996,169.985046,2908389
2022-08-05,182.000000,187.800003,181.100006,187.110001,175.985748,3032564
2022-08-08,null,null,null,null,null,null
2022-08-09,187.110001,187.110001,187.110001,187.110001,175.985748,0
2022-08-10,189.800003,192.000000,187.020004,188.020004,176.841644,2282757
2022-08-11,187.500000,190.500000,186.000000,189.289993,178.036133,1601482
2022-08-12,191.990005,193.389999,190.399994,192.820007,181.356277,2272446
2022-08-15,193.899994,196.500000,192.000000,192.779999,181.318649,2152423
2022-08-16,193.300003,194.399994,188.500000,189.830002,178.544037,1037612
2022-08-17,190.300003,191.100006,185.500000,189.820007,178.534637,472234
2022-08-18,189.000000,191.600006,188.509995,189.110001,177.866837,480091
2022-08-19,190.889999,191.500000,187.000000,187.449997,176.305527,891010
2022-08-22,187.000000,187.000000,184.500000,185.169998,174.161087,1054409
2022-08-23,186.000000,188.399994,185.750000,186.750000,175.647156,1163319
2022-08-24,187.960007,188.449997,185.750000,185.910004,174.857101,836223
2022-08-25,186.000000,186.750000,183.110001,183.690002,172.769073,744783
2022-08-26,183.500000,184.979996,171.000000,172.750000,162.479492,5366892
2022-08-29,172.029999,172.029999,168.110001,171.279999,161.096893,1432034
2022-08-30,173.979996,174.490005,169.000000,169.309998,159.244003,1174610
2022-08-31,169.500000,171.899994,169.110001,170.309998,160.184555,855002
2022-09-01,170.800003,171.899994,170.100006,170.220001,160.099915,823744
2022-09-02,170.940002,170.940002,167.970001,168.529999,158.510376,393425
2022-09-06,166.000000,170.500000,165.000000,170.229996,160.109314,1232963
2022-09-07,171.750000,173.100006,171.350006,172.210007,161.971603,1228346
2022-09-08,173.369995,173.369995,170.600006,170.880005,160.720673,806576
2022-09-09,171.449997,171.699997,169.559998,169.869995,159.770706,429325
2022-09-12,169.899994,170.500000,169.000000,169.309998,159.244003,174474
2022-09-13,169.399994,170.250000,169.000000,169.119995,159.065308,161581
2022-09-14,168.750000,169.649994,168.500000,169.389999,159.319260,251202
2022-09-15,169.990005,171.970001,168.009995,168.619995,158.595032,1033069
2022-09-16,168.000000,169.000000,166.300003,168.089996,158.096542,872173
2022-09-19,168.789993,168.789993,165.449997,165.720001,155.867447,319280
2022-09-20,166.949997,167.000000,163.550003,164.759995,154.964523,501792
2022-09-21,164.100006,164.979996,162.000000,162.279999,152.631958,251378
2022-09-22,161.509995,162.000000,158.300003,161.570007,151.964188,570383
2022-09-23,162.000000,164.199997,159.000000,160.169998,150.647415,601000
2022-09-26,159.899994,166.179993,159.869995,164.089996,154.334351,634107
2022-09-27,164.600006,168.399994,163.490005,165.960007,156.093185,919863
2022-09-28,166.309998,168.199997,165.449997,165.990005,156.121399,585245
2022-09-29,165.979996,165.979996,164.000000,164.460007,154.682358,314594
2022-09-30,164.009995,164.699997,161.130005,162.429993,152.773041,479381
2022-10-03,162.889999,166.000000,162.600006,165.580002,155.735779,484645
2022-10-04,165.000000,166.250000,163.699997,163.899994,154.155640,301754
2022-10-05,164.990005,165.899994,163.899994,164.850006,155.049179,386370
2022-10-06,165.199997,168.550003,164.500000,166.509995,156.610474,888944
2022-10-07,165.699997,168.850006,165.699997,167.800003,157.823792,1078556
